Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 08:22:44,2024-02-22 08:22:44,"0,593s",PASSED
"setText(findTestObject(""Login/field_username""), standard_user)",Edge Chromium 121,,,2024-02-22 08:22:44,2024-02-22 08:22:46,"2,017s",PASSED
"setText(findTestObject(""Login/field_password""), """")",Edge Chromium 121,,,2024-02-22 08:22:46,2024-02-22 08:22:47,"1,076s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 08:22:47,2024-02-22 08:22:48,"0,623s",PASSED
"click(findTestObject(""Login/button_login""))",Edge Chromium 121,,,2024-02-22 08:22:48,2024-02-22 08:22:48,"0,481s",PASSED
"verifyElementText(findTestObject(""Login/assertion/div_Epic sadface Password is required""), ""Epic sadface: Password is required"")",Edge Chromium 121,,,2024-02-22 08:22:48,2024-02-22 08:22:49,"0,531s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 08:22:49,2024-02-22 08:22:49,"0,551s",PASSED
closeBrowser(),Edge Chromium 121,,,2024-02-22 08:22:49,2024-02-22 08:22:50,"0,981s",PASSED
,,,,,,,
Test Cases/Login/1.1.10 - User input username and password not registered,Edge Chromium 121,User login with standar_user,Login,2024-02-22 08:22:50,2024-02-22 08:23:32,"41,338s",PASSED
"openBrowser("""")",Edge Chromium 121,,,2024-02-22 08:22:51,2024-02-22 08:22:53,"1,773s",PASSED
navigateToUrl(baseUrl),Edge Chromium 121,,,2024-02-22 08:22:53,2024-02-22 08:22:55,"2,273s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 08:22:55,2024-02-22 08:22:55,"0,561s",PASSED
"setText(findTestObject(""Login/field_username""), ""standart"")",Edge Chromium 121,,,2024-02-22 08:22:55,2024-02-22 08:22:57,"1,761s",PASSED
"setText(findTestObject(""Login/field_password""), ""secret"")",Edge Chromium 121,,,2024-02-22 08:22:57,2024-02-22 08:22:58,"0,880s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 08:22:58,2024-02-22 08:22:59,"0,538s",PASSED
"click(findTestObject(""Login/button_login""))",Edge Chromium 121,,,2024-02-22 08:22:59,2024-02-22 08:22:59,"0,657s",PASSED
"verifyElementText(findTestObject(""Login/assertion/h3_Epic sadface Username and password do not match any user in this service""), ""Epic sadface: Username and password do not match any user in this service"")",Edge Chromium 121,,,2024-02-22 08:22:59,2024-02-22 08:23:29,"30,174s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 08:23:29,2024-02-22 08:23:31,"1,442s",PASSED
closeBrowser(),Edge Chromium 121,,,2024-02-22 08:23:31,2024-02-22 08:23:32,"0,905s",PASSED
